,p_stress_or_crisis,p_crisis,signal_color,cpi_level,cpi_alert
2016-04-30,0.4237149305643718,0.10206096513840565,YELLOW,-0.16433476445251288,False
2016-05-31,0.999999999999616,0.17778733210603692,YELLOW,0.5890831622271318,False
2016-06-30,0.999999999863277,0.18079185747641568,YELLOW,0.4717407318346063,False
2016-07-31,0.8257899950946979,0.017073285326617536,YELLOW,-0.2660106054521252,False
2016-08-31,0.8288342462669217,0.0034268822957772543,YELLOW,-0.31346051139510006,False
2016-09-30,0.8402074813014394,0.00104345551639753,YELLOW,-0.30437875484511007,False
2016-10-31,0.9064487073541052,0.0019122655931395434,YELLOW,-0.15518435758335905,False
2016-11-30,0.9250335909680238,0.003607544094900524,YELLOW,-0.14644133867250553,False
2016-12-31,0.9643062042799628,0.014488419711255368,YELLOW,-0.13687254326357687,False
2017-01-31,0.86269088774032,0.002222961773855856,YELLOW,-0.6443284971738205,False
2017-02-28,0.8675111712131193,0.0012595418838505438,YELLOW,-0.4982335700155425,False
2017-03-31,0.8710567386189376,0.0005470653737236827,YELLOW,-0.494585039971639,False
2017-04-30,0.9215056085856624,0.0017683252936136933,YELLOW,-0.23127904686557166,False
2017-05-31,0.9222460984761233,0.0007197360018504249,YELLOW,-0.39430750626941696,False
2017-06-30,0.9272902478594389,0.001169801369311991,YELLOW,-0.3836015557983909,False
2017-07-31,0.9308454495691385,0.00039628749592624587,YELLOW,-0.5621685782024216,False
2017-08-31,0.961628522894116,0.0007307974410228335,YELLOW,-0.4422963727048034,False
2017-09-30,0.9897377030710388,0.0013454058549027422,YELLOW,-0.4355188385373849,False
2017-10-31,0.05726266257590426,0.0001875991215379972,GREEN,-0.9783154875796491,False
2017-11-30,0.05782425756570207,0.0001545653690127616,GREEN,-0.6702734819575403,False
2017-12-31,0.05757726621553942,1.5454024091616144e-05,GREEN,-0.6750650399935502,False
2018-01-31,0.05853697354428591,1.688833103781515e-05,GREEN,-0.42190372100961515,False
2018-02-28,0.006387343587186813,3.4601626540812683e-06,GREEN,-0.6469706204719504,False
2018-03-31,0.006180532274128951,1.253198389410852e-07,GREEN,-0.6446798879343091,False
2018-04-30,0.00013368577608466046,3.456074951835214e-08,GREEN,-0.7679892822032857,False
2018-05-31,0.0001004959999292304,1.7895265565327508e-08,GREEN,-0.7114449285124564,False
2018-06-30,4.094260155047232e-05,1.1628632929449602e-08,GREEN,-0.7134138401877714,False
2018-07-31,4.071090597301201e-05,8.317939070324529e-09,GREEN,-0.6344214472919546,False
2018-08-31,8.984096953866499e-06,6.4074340208678016e-09,GREEN,-0.6879523701289503,False
2018-09-30,5.803351412731021e-06,6.1360369789118555e-09,GREEN,-0.6848652085136017,False
2018-10-31,3.33639466345164e-06,8.541172710908933e-09,GREEN,-0.6995751964548829,False
2018-11-30,3.3276570390378637e-06,1.3916421942611366e-08,GREEN,-0.6975182499022811,False
2018-12-31,4.520811209564717e-06,1.3719326906357661e-08,GREEN,-0.6992146817469488,False
